sourcebus	659473.1	5507121.2
MTsourcebus	659473.1	5507121.2
MT2947241	656601.948	5506700.387
MT2950386	656557.953	5506381.425
MT2954770	656562.938	5506416.298
MT2963903	656565.955	5506448.436
MT2969042	656576.955	5506523.437
MT2973213	656582.966	5506563.502
MT2973581	656588.942	5506597.341
MT2978361	655343.158	5506816.422
MT2980010	654912.255	5507606.995
MT2981106	655076.333	5507639.067
MT2981149	655053.24	5507042.61
MT2981745	655027.218	5507038.607
MT2983930	654809.813	5507572.896
MT2984200	655101.332	5507611.068
MT2987427	655707.083	5507892.825
MT2987433	655651.391	5507854.866
MT2989143	655373.941	5506833.461
MT2989147	655330.879	5506827.453
MT2989207	654790.949	5507532.003
MT2990673	654495.047	5507151.459
MT2992556	656265.131	5507182.736
MT2993240	655142.157	5506946.475
MT2993244	655115.014	5507103.672
MT2995217	655669.408	5507940.859
MT2996471	655405.903	5506837.456
MT3002116	655433.009	5506773.625
MT3002139	656194.127	5507094.458
MT3002143	656145.049	5507102.472
MT3003031	657001.732	5506956.392
MT3003298	654568.901	5507239.297
MT3003693	654472.779	5507194.866
MT3003699	654487.063	5507208.568
MT3003705	654519.178	5507215.59
MT3003826	656711.943	5506434.399
MT3004151	654935.346	5507575.076
MT3004206	654904.368	5507547.096
MT3004456	654878.388	5507523.115
MT3006032	654856.637	5507532.305
MT3006038	654831.782	5507561.539
MT3007570	656734.949	5506615.437
MT3008685	654853.059	5507592.462
MT3009434	655124.171	5507075.385
MT3009624	654817.209	5507691.952
MT3010759	655047.334	5507613.068
MT3012184	654874.852	5507628.932
MT3012190	654896.936	5507649.005
MT3016582	655702.729	5507933.603
MT3020855	655076.828	5506969.121
MT3020968	656270.122	5507218.663
MT3021128	656277.97	5507077.488
MT3021508	654350.18	5506819.538
MT3021543	654357.18	5506783.54
MT3022896	655017.123	5507749.369
MT3022924	655013.565	5507739.706
MT3024307	654312.192	5506815.481
MT3024311	654318.192	5506780.483
MT3027274	654324.22	5506679.619
MT3028408	656564.009	5507659.553
MT3028617	655880.35	5507008.921
MT3029061	654380.108	5506792.266
MT3030685	655723.4	5507586.675
MT3030689	655718.386	5507551.559
MT3031820	654372.287	5506779.624
MT3031824	654425.064	5506781.477
MT3032970	655727.98	5507457.3
MT3032974	655723.982	5507421.318
MT3035544	655131.569	5507604.701
MT3035737	655755.373	5507953.218
MT3035948	654669.976	5507198.242
MT3035949	654681.146	5507190.586
MT3036170	654947.838	5507692.919
MT3042912	655635.455	5507905.853
MT3043190	656916.081	5507343.094
MT3043442	654245.072	5506836.141
MT3043444	654232.205	5506809.428
MT3043450	654232.205	5506809.428
MT3044507	655735.547	5508084.22
MT3046563	656381.961	5506878.404
MT3047745	655719.981	5507387.311
MT3048339	654407.048	5506697.656
MT3051107	656857.097	5506824.679
MT3051547	654402.038	5506730.732
MT3051700	655107.57	5507632.7
MT3053559	656336.966	5506561.44
MT3053760	654922.206	5507664.431
MT3055470	654703.191	5507232.367
MT3057983	654706.054	5507204.19
MT3057987	654661.11	5507245.757
MT3057991	654666.184	5507228.425
MT3058933	655030.992	5506947.462
MT3059509	655751.346	5508015.114
MT3059515	655756.377	5507917.135
MT3059573	655763.574	5507884.451
MT3059768	656603.007	5507667.552
MT3059871	654285.05	5506717.677
MT3060466	656341.967	5506594.444
MT3061850	654347.202	5506840.409
MT3062985	654432.231	5506693.621
MT3064914	654324.039	5506721.75
MT3065575	655076.166	5507087.597
MT3065581	655046.214	5507082.604
MT3066051	654457.22	5506806.897
MT3072597	654716.17	5507196.591
MT3072931	654364.044	5506725.701
MT3074580	656347.955	5506633.363
MT3074584	656353.962	5506682.413
MT3074832	655039.582	5507709.687
MT3077397	655753.383	5507971.281
MT3080037	654246.043	5506709.75
MT3080842	655723.99	5507520.942
MT3083581	656404.957	5507045.368
MT3084313	654246.233	5506669.621
MT3084690	655067.536	5507676.74
MT3085517	656762.069	5507387.559
MT3085521	656768.066	5507359.571
MT3087374	655019.253	5507078.61
MT3087903	654826.196	5507277.28
MT3088375	655084.535	5507657.74
MT3093388	656582.114	5507567.329
MT3097790	654972.84	5507715.921
MT3097796	654996.884	5507737.96
MT3102936	654776.175	5507269.449
MT3106542	654831.688	5507223.461
